nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Programa Brasileiro de Rastreabilidade Fiscal (Rota Brasil);Programa governamental;2022;Desenvolvimento Econômico;Indústria e Comércio;"Comércio e Serviços;;;;";Ministério da Economia;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;"Art. 3º O Rota Brasil deverá ser adotado pelos estabelecimentos fabricantes e importadores dos produtos definidos como de interesse fiscal, referidos nos seguintes dispositivos:

I - arts. 27 a 30 da Lei nº 11.488, de 15 de junho de 2007, para os cigarros classificados na posição 2402.20.00 da Tabela de Incidência do Imposto sobre Produtos Industrializados (Tipi), excetuados os classificados no Ex 01; e

II - art. 35 da Lei nº 13.097, de 19 de janeiro de 2015, para os produtos referidos no art. 14 da mesma lei.

§ 1º Para os produtos a que se refere o inciso II do caput, poderá ser viabilizada uma versão inicial e temporária (versão beta) do sistema, para implementação em contribuintes específicos que atendam, pelo menos, aos requisitos estabelecidos nos incisos I, II, V e VII do caput do art. 2º.

§ 2º Para fins do disposto no caput, o Rota Brasil poderá também ser estendido:

I - às empresas produtoras de bebidas alcoólicas constantes do Anexo I da Instrução Normativa RFB nº 1.432, de 26 de dezembro de 2013;

II - ao biodiesel de que trata o art. 1º da Lei nº 11.116, de 18 de maio de 2005; e

III - a outros produtos que venham a ser definidos como de interesse fiscal com fundamento no art. 46 da Lei nº 4.502, de 30 de novembro de 1964.";Não se aplica;Não se aplica;Portaria;165/2022;12 de Abril de 2022;Não encontrado;"Art. 1º Fica instituído o Programa Brasileiro de Rastreabilidade Fiscal (Rota Brasil), que consiste na criação de um padrão nacional aplicável aos controles sistêmicos de produção e de rastreabilidade de produtos, nos termos estabelecidos nesta Portaria e em outros atos complementares a serem editados pela Secretaria Especial da Receita Federal do Brasil (RFB).

Parágrafo único. O Rota Brasil possibilitará, por meio de sistemas integrados, a identificação da origem de produtos e o seu acompanhamento na cadeia produtiva, além da repressão da importação e produção ilegais e da comercialização de contrafações.";;
Programa China e Ásia no âmbito do Ministério da Agricultura, Pecuária e Abastecimento;Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Diplomacia, integração e relações internacionais;Outros;;Não se aplica;Não se aplica;Portaria;405/2022;8 de Março de 2022;Não encontrado;"Art. 2º O objetivo do Programa China e Ásia é apoiar iniciativas que tenham o potencial de: I - contribuir com os contínuos esforços de abertura comercial do mercado asiático aos produtos brasileiros; II - diversificar e agregar valor às exportações agropecuárias do Brasil à região asiática; III - atrair investimentos de capital asiático que possam impactar positivamente as atividades agropecuárias brasileiras; e IV - desenvolver ações nas áreas de sustentabilidade e inovação entre os setores agropecuários do Brasil e da região asiática.";;
Programa Combustível do Futuro, cria o Comitê Técnico Combustível do Futuro;Programa governamental;2021;Desenvolvimento Econômico;Infraestrutura;"Energia; Transporte";Presidência da República;População em geral ;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica;Não se aplica;Resolução;07  2021;20 de abril de 2021;Não encontrado;Art. 1º Instituir o Programa Combustível do Futuro com o objetivo de propor medidas para incrementar a utilização de combustíveis sustentáveis e de baixa intensidade de carbono, bem como da tecnologia veicular nacional com vistas à descarbonização da matriz energética de transporte nacional. ;;
Programa Cuida Mais Brasil para o ano de 2022;Programa governamental;2022;Social;Saúde;Saúde;Ministério da Saúde;Mulheres em idade fértil;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com deficiência);"Art. 1º Instituir, para o ano de 2022, o Programa Cuida Mais Brasil, para o aprimoramento de ações estratégicas assistenciais de integração da Atenção Primária à Saúde - APS nas Redes de Atenção à Saúde - RAS, com enfoque na saúde da mulher e na saúde materno-infantil.

Parágrafo único. O Programa terá como enfoque a saúde da mulher e a saúde materno-infantil, por meio do financiamento federal de ações complementares de apoio às equipes de Saúde da Família - eSF e equipes de Atenção Primária - eAP, considerando a conformação regional de organização da RAS em cada unidade da Federação.";Não se aplica;Não se aplica;Portaria;937/2022;5 de Maio de 2022;Não encontrado;"Art. 2º São objetivos do Programa Cuida Mais Brasil:

I - apoiar a organização e a oferta do cuidado na saúde da mulher e na saúde materno-infantil, com vistas à redução da mortalidade materna e infantil;

II - aumentar a resolutividade da APS, por meio da qualificação dos processos de trabalho das equipes, e contribuir para a integralidade do cuidado na saúde da mulher e na saúde materno-infantil;

III - apoiar e complementar as equipes da APS na condução do cuidado às condições clínicas e epidemiológicas prioritárias de atenção à saúde da criança e da saúde das mulheres em período pré-concepcional, gestacional, puerperal e em intervalo intergestacional de acordo com as diretrizes do Sistema Único de Saúde - SUS; e

IV - proporcionar espaços de apoio técnico-pedagógico para os profissionais das equipes de APS de forma integrada aos médicos ginecologistas-obstetras e pediatras, ampliando a capacidade de resposta desses profissionais.";;
Programa da Educação de Jovens e Adultos Integrada à Educação Profissional (EJA Integrada);Programa governamental;2021;Social;Educação;Educação;Ministério da Educação;Estudantes e Professores;Jovens e Adultos;I - Programa EJA Integrada - EPT: concessão de recursos, em caráter suplementar, para o desenvolvimento de projetos destinados à oferta de cursos nos três segmentos da EJA (ensino fundamental e médio), organizados para atender a jovens, adultos e idosos que não tiveram acesso ou continuidade de estudos na idade certa, na forma integrada à educação profissional;Não se aplica;Não se aplica;Portaria;962/2021;1º de dezembro de 2021;Não encontrado;"Art. 3º São objetivos específicos do Programa EJA Integrada - EPT:

I - ampliar oportunidades de acesso, permanência e conclusão dos três segmentos da EJA;

II - fomentar a oferta de EJA Integrada à Educação Profissional, articulada com a oferta educacional de EJA nos ensinos fundamental e médio, nos estados e nos municípios e no Distrito Federal, em consonância com os arranjos produtivos locais;

III - apoiar o desenvolvimento de propostas pedagógicas específicas para o público de EJA, as quais deverão integrar educação, ciência, trabalho, tecnologia e cultura; e

IV - promover a elevação da escolaridade de jovens, adultos e idosos, articulada à educação profissional.";;
Programa de Incentivo à Redução Voluntária do Consumo de Energia Elétrica para unidades consumidoras do Sistema Interligado Nacional;Programa governamental;2021;Infraestrutura;Infraestrutura;"Energia;;;;";Ministério de Minas e Energia;População em geral ;População em geral ;Art. 1º Fica instituído o Programa de Incentivo à Redução Voluntária do Consumo de Energia Elétrica para unidades consumidoras dos grupos A e B no mercado regulado do Sistema Interligado Nacional - SIN, vinculado ao Ministério de Minas e Energia, com o objetivo de estabelecer medidas emergenciais para o enfrentamento da atual situação de escassez hídrica, a fim de garantir a continuidade e a segurança do suprimento eletroenergético no País.;Não se aplica;Não se aplica;Resolução;02  2021;31 de Agosto de 2021;Não encontrado;Art. 1º Fica instituído o Programa de Incentivo à Redução Voluntária do Consumo de Energia Elétrica para unidades consumidoras dos grupos A e B no mercado regulado do Sistema Interligado Nacional - SIN, vinculado ao Ministério de Minas e Energia, com o objetivo de estabelecer medidas emergenciais para o enfrentamento da atual situação de escassez hídrica, a fim de garantir a continuidade e a segurança do suprimento eletroenergético no País.;;
Programa de Qualificação da Assistência Cardiovascular (QualiSUS Cardio);Programa governamental;2022;Social;Saúde;Saúde;Ministério da Saúde;População em geral ;População em geral ;Sem especificação;Não se aplica;Não se aplica;Portaria;1099/2022;12 de Maio de 2022;Não encontrado;"Art. 363-H. São objetivos do Programa QualiSUS Cardio:

I - avaliar o desempenho dos estabelecimentos de saúde no âmbito da alta complexidade cardiovascular a partir da análise de indicadores relativos ao volume, à qualidade e à complexidade da assistência ofertada; e

II - estabelecer incrementos sobre os valores de ações estratégicas da saúde cardiovascular em conformidade com o desempnho aferido.";;
Programa de Regularização Fiscal de débitos do Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional) inscritos em dívida ativa da União.;Programa governamental;2022;Desenvolvimento Econômico;Política Econômica;"Encargos Especiais;;;;";Ministério da Economia;Microempresas e Empresas de Pequeno Porte (Simples Nacional) inscritos em dívida ativa da União;Microempresas e Empresas de Pequeno Porte (Simples Nacional) inscritos em dívida ativa da União;Microempresas e Empresas de Pequeno Porte (Simples Nacional), inscritos em dívida ativa da União;Não se aplica;Não se aplica;Portaria;214/2022;10 de Janeiro de 2022;Não encontrado;"Art. 2º São objetivos do Programa de Regularização Fiscal de débitos do Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional), inscritos em dívida ativa da União:

I - viabilizar a superação da situação transitória de crise econômico-financeira de microempreendedores individuais e micro e pequenas empresas optantes do Regime Especial Unificado de Arrecadação de Tributos e Contribuições (Simples Nacional), potencialmente provocada pelos efeitos do coronavírus (COVID-19) em sua capacidade de geração de resultados e na perspectiva de recebimento dos débitos inscritos em dívida ativa da União;

II - estimular a melhoria do ambiente de negócios dos microempreendedores individuais e das micro e pequenas, com manutenção da fonte produtora, do emprego e da renda;

III - estimular a assunção de compromissos recíprocos entre fisco e contribuinte, com o objetivo de assegurar a sustentabilidade do cumprimento das obrigações tributárias dos microempreendedores e das micro e pequenas e a previsibilidade dos impactos do inadimplemento sobre suas atividades (cooperative compliance);

IV - assegurar a segurança jurídica e redução da litigiosidade;

V - assegurar que a cobrança dos créditos originários do Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional) seja realizada de forma a ajustar a expectativa de recebimento à capacidade de geração de resultados dos microempreendedores e das micro e pequenas.";;
Programa de revitalização de Unidades Básicas de Saúde por meio do trabalho de pessoas privadas de liberdade.;Programa governamental;2021;Social;Saúde;Saúde;Ministério da Saúde;Unidades Básicas de Saúde;Unidades Básicas de Saúde e Pessoas privadas de liberdade no sistema prisional;Unidades Básicas de Saúde e Pessoas privadas de liberdade no sistema prisional;Não se aplica;Não se aplica;Portaria;1698/2021;23 de Julho de 2021;Não encontrado;"Art. 519-L. São objetivos do Programa de que trata esta Seção:

I - promover, de forma eficiente, a melhoria estrutural e a revitalização dos espaços físicos das Unidades Básicas de Saúde;

II- promover o acesso ao trabalho de pessoas privadas de liberdade, entendendo-o como um determinante social das condições de saúde e de reintegração social; e

III - fortalecer a articulação intersetorial no âmbito do Sistema Único de Saúde, em especial entre as áreas da saúde e da administração penitenciária."" (NR)";;
Programa Educação e Família;Programa governamental;2021;Social;Educação;Educação;Ministério da Educação;Estudantes e Professores;redes públicas de educação básica;Art. 1º Instituir o Programa Educação e Família, com a finalidade de, no âmbito das escolas públicas de educação básica, fomentar e qualificar a participação da família na vida escolar do estudante e na construção do seu projeto de vida, com foco no processo de reflexão sobre o que cada estudante quer ser no futuro e no planejamento de ações para construir esse futuro.;Não se aplica;Não se aplica;Portaria;571/2021;2 de Agosto de 2021;Não encontrado;"Art. 3º São objetivos do Programa Educação e Família:

I - promover ações de formação que envolvam a família e os profissionais da educação;

II - apoiar técnica e financeiramente as escolas participantes do Programa Dinheiro Direto na Escola - PDDE Educação e Família para a elaboração e implementação do Plano de Ação da escola;

III - promover ações que potencializem a participação da família na vida escolar dos estudantes;

IV - apoiar a elaboração de materiais pedagógicos que valorizem e versem sobre a integração família escola;

V - promover ações que visem à reflexão sobre a importância da família e da escola na construção do projeto de vida dos estudantes;

VI - fomentar ações de fortalecimento do Conselho Escolar, qualificando a atuação dos conselheiros;

VII - promover ações que ampliem o acesso às informações educacionais e financeiras das escolas públicas;

VIII - contribuir para a consecução das Metas do Plano Nacional de Educação - PNE, de que trata o Anexo da Lei nº 13.005, de 25 de junho de 2014; e

IX - contribuir para a consecução das premissas da Base Nacional Comum Curricular - BNCC no que se refere ao projeto de vida dos estudantes.";;
Programa Itinerários Formativos;Programa governamental;2021;Social;Educação;Educação;Ministério da Educação;Estudantes e Professores;redes públicas de educação de nível médio;Art. 1º Fica instituído o Programa Itinerários Formativos, com a finalidade de coordenar a implementação do Novo Ensino Médio, por meio de apoio técnico e financeiro às redes para implantação dos itinerários formativos, para contribuir com o desenvolvimento do projeto de vida do jovem, a sua formação integral e a inserção no mundo do trabalho.;Não se aplica;Não se aplica;Portaria;733/2021;16 de Setembro de 2021;Não encontrado;"Art. 5º São objetivos do Programa:

I - coordenar nacionalmente, monitorar e avaliar a implementação do Novo Ensino Médio, especialmente no âmbito da implantação dos itinerários formativos;

II - garantir apoio técnico e financeiro às escolas públicas estaduais de educação básica ofertantes do ensino médio, via PDDE, para a implantação dos itinerários formativos que compõem o novo currículo de ensino médio, a partir de 2022, conforme critérios estabelecidos nesta Portaria;

III - contribuir para a consecução das metas 3, 7 e 11 do Plano Nacional de Educação, de que trata a Lei nº 13.005, de 2014;

IV - atender ao disposto na Lei nº 13.415 de 16 de fevereiro de 2017;

V - contribuir para a elevação da qualidade da oferta do ensino médio e para a melhoria dos indicadores educacionais;

VI - ampliar a capacidade das secretarias de educação estaduais e distrital, para a implementação do Novo Ensino Médio; e

VII - promover a integração das redes de educação estaduais e federal, para ampliar a capacidade de oferta dos itinerários formativos do Novo Ensino Médio.";;
Programa Município Amigo da Família (PMAF);Programa governamental;2022;Social;Direitos Humanos;Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;Família;Família;Parágrafo único. O PMAF visa incentivar os municípios brasileiros a realizarem ações destinadas à implementação integrada de políticas familiares, que promovam o fortalecimento dos vínculos familiares.;Não se aplica;Não se aplica;Portaria;107/2022;18 de Janeiro de 2022;Não encontrado;"Art. 3º São objetivos do PMAF:

I - o incentivo a políticas públicas de fortalecimento dos vínculos familiares;

II - o fortalecimento das instâncias municipais de implementação de políticas públicas familiares e da coordenação entre os diferentes entes da federação; e

III - a promoção da articulação governamental para a integração das políticas públicas familiares.";;
Programa Nacional de Controle da Ferrugem Asiática da Soja;Programa governamental;2021;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Sistema de produção agrícola da soja;Sistema de produção agrícola da soja;Sistema de produção agrícola da soja;Não se aplica;Não se aplica;Portaria;306/2021;13 de maio de 2021;Não encontrado;Art. 2º O PNCFS visa ao fortalecimento do sistema de produção agrícola da soja, congregando ações estratégicas de defesa sanitária vegetal com suporte da pesquisa agrícola e da assistência técnica na prevenção e controle da praga.;;
Programa Nacional de Controle de Resíduos e Contaminantes em Produtos de Origem Vegetal (PNCRC/Vegetal);Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Produção de origem vegetal;Produção de origem vegetal;Art. 2º O Programa Nacional de Controle de Resíduos e Contaminantes em Produtos de Origem Vegetal (PNCRC/Vegetal) é constituído pelo conjunto das ações relacionadas ao controle oficial de resíduos e contaminantes em produtos de origem vegetal destinados ao mercado nacional, importados e exportados.;Não se aplica;Não se aplica;Portaria;574/2022;9 de Maio de 2022;Não encontrado;"Art. 4º O PNCRC/Vegetal tem como objetivos:

I - prevenir, eliminar ou reduzir para níveis aceitáveis os riscos relacionados à presença de resíduos e contaminantes em produtos de origem vegetal;

II - contribuir para o uso adequado e seguro de agrotóxicos e afins, de acordo com a legislação específica;

III - aferir a rastreabilidade e estimular a adoção das boas práticas nas cadeias produtivas de produtos de origem vegetal;

IV - possibilitar o conhecimento do potencial de exposição da população a resíduos e contaminantes nocivos à saúde do consumidor, visando à adoção de políticas públicas de defesa agropecuária, com ênfase na inspeção, monitoramento e fiscalização de produtos de origem vegetal;

V - impedir a destinação para consumo ou processamento de produtos de origem vegetal nos quais se tenha constatado violação dos limites máximos de resíduos e contaminantes, presença de substâncias proibidas ou não permitidas; e

VI - subsidiar ações de controle, supervisão técnica, fiscalização, inspeção e investigação que promovam a segurança dos produtos de origem vegetal no mercado interno, importação e exportação.";;
Programa Nacional de Educação Continuada em Direitos Humanos (PNEC-DH), no âmbito do Ministério da Mulher, da Família e dos Direitos Humanos;Programa governamental;2021;Social;Direitos Humanos;"Direitos da Cidadania;;;;";Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;Não se aplica;Não se aplica;Portaria;4063/2021;20 de dezembro de 2021;Não encontrado;"Art. 3º São objetivos específicos do PNEC-DH:

I - produzir, promover, atualizar e divulgar cursos sobre temas de direitos humanos para público diverso e em linguagem acessível;

II - capacitar e qualificar profissionais que atuam direta ou indiretamente com temas de direitos humanos;

III - aprimorar a execução de serviços e políticas públicas por meio da formação em direitos humanos; e

IV - contribuir para a redução de desigualdades em formação e capacitação em direitos humanos de servidores e agentes públicos nos níveis federal, estadual, municipal e no Distrito Federal.";;
Programa Nacional de Monitoramento das Cadeias Produtivas dos Produtos de Origem Vegetal (PNMONITOR);Programa governamental;2022;Desenvolvimento Econômico;Agropecuária e Agrária;Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;Produção de origem vegetal;Produção de origem vegetal;"IX - agentes agropecuários: pessoa física ou jurídica, pública ou privada, que realiza ou participa, direta ou indiretamente, dos seguintes processos ao longo das cadeias produtivas do setor agropecuário:

a) produção, transporte, beneficiamento, armazenamento, distribuição e comercialização;

b) importação, exportação, trânsito nacional, trânsito internacional e aduaneiro;

c) transformação e industrialização;

d) diagnóstico, ensino, pesquisa e experimentação; ou

e) prestação de serviços e demais processos.";Não se aplica;Não se aplica;Portaria;571/2022;9 de Maio de 2022;Não encontrado;"Art. 4º Constituem-se objetivos específicos do PNMONITOR:

I - identificar problemas que possam afetar a qualidade e inocuidade dos produtos de origem vegetal, inclusive quanto a sustentabilidade, e propor políticas públicas para saná-los;

II - implementar medidas que visem assegurar a qualidade, a inocuidade e a segurança higiênico-sanitária dos produtos de origem vegetal colocados à disposição da população brasileira bem como os destinados à exportação;

III - contribuir para a adoção das boas práticas agrícolas, fabris, de armazenamento e de transporte na cadeia de produção dos produtos de origem vegetal;

IV - estimular a adoção de rastreabilidade dos produtos de origem vegetal;

V - estimular a certificação voluntária dos produtos de origem vegetal;

VI - propor a elaboração ou atualização de normativos específicos relacionados com o monitoramento, rastreabilidade e certificação de produtos de origem vegetal; e

VII - estimular o autocontrole dos agentes privados regulados pela defesa agropecuária.";;
Programa Aproxima;Programa governamental;2022;Social;Assistência Social;"Assistência Social; Habitação";Ministério da Economia;População em situação de vulnerabilidade social;População de baixa renda;Art. 1º Fica criado o Programa Aproxima, com a finalidade de promover o direito à moradia a famílias de baixa renda residentes em áreas urbanas, por meio da destinação dos bens imóveis da União, nos termos do disposto no art. 7º da Lei nº 14.118, de 12 de janeiro de 2021.;Não se aplica;Não se aplica;Portaria;1683/2022;16 de março de 2022;Não encontrado;Art. 1º Fica criado o Programa Aproxima, com a finalidade de promover o direito à moradia a famílias de baixa renda residentes em áreas urbanas, por meio da destinação dos bens imóveis da União, nos termos do disposto no art. 7º da Lei nº 14.118, de 12 de janeiro de 2021.;;
Programa Institucional de Fomento e Indução da Inovação da Formação Inicial Continuada de Professores e Diretores Escolares;Programa governamental;2021;Social;Educação;Educação;Ministério da Educação;Estudantes e Professores;redes públicas de educação básica;Art. 2º O Programa Institucional de Fomento e Indução da Inovação da Formação Inicial Continuada de Professores e Diretores Escolares tem por objetivo promover a oferta de cursos de licenciaturas e de formação continuada inovadoras, que atendam às necessidades e à organização da atual política curricular da educação básica e da formação de professores e diretores escolares que atuam nessa etapa de ensino.;Não se aplica;Não se aplica;Portaria;411/2021;17 de junho de 2021;Não encontrado;"Art. 3º São objetivos específicos do Programa:

I - promover a adequação da Pedagogia e das Licenciaturas à BNCC, aos currículos e às matrizes estabelecidos pelas redes de ensino, às propostas pedagógicas curriculares das escolas de educação básica e à BNC-Formação Inicial;

II - promover a adequação dos cursos de formação continuada às Diretrizes Curriculares Nacionais para Formação Continuada de Professores para a Educação Básica, à BNC-Formação Continuada e à Matriz Nacional Comum de Competências do Diretor Escolar;

III - contribuir para o alcance das Metas 1, 4, 5, 7, 12 e 15 do PNE, oferecendo aos professores em serviço na rede pública oportunidade de acesso à formação específica de nível superior em curso de licenciatura na área de conhecimento em que atuam;

IV - prestar apoio técnico e financeiro, em caráter suplementar, às instituições de ensino superior - IES, a fim de promover a formação inicial de qualidade para o exercício da docência na educação básica;

V - incentivar o desenvolvimento de propostas formativas inovadoras que considerem as especificidades da formação em serviço para professores da educação básica, por meio das metodologias ativas, do ensino híbrido, do empreendedorismo e do uso pedagógico das tecnologias;

VI - estimular a articulação das instituições de ensino superior (pós-graduação, pedagogia e licenciaturas) com as redes de ensino, visando ao desenvolvimento da atuação prática de pedagogos e licenciandos, por meio do estágio e de disciplinas práticas; e

VII - estimular o desenvolvimento e a oferta de novos formatos de curso de formação de professores, visando promover licenciaturas interdisciplinares, em rede, e com ênfase na vivência prática na escola básica, buscando preencher as lacunas acadêmicas, no que concerne à formação interdisciplinar dos professores da educação básica.";;
Política Nacional Aldir Blanc de Fomento à Cultura;Política Nacional;2022;Social;Cultura;"Cultura;;;;";Poder Executivo;Produtores Culturais;Produtores Culturais;Art. 4º A Política Nacional Aldir Blanc de Fomento à Cultura tem como beneficiários os trabalhadores da cultura e as entidades e pessoas físicas e jurídicas que atuem na produção, na difusão, na promoção, na preservação e na aquisição de bens, produtos ou serviços artísticos e culturais, inclusive o patrimônio cultural material e imaterial.;Não se aplica;Não se aplica;Lei Ordinária;14399/2022;08 de julho de 2022;Não encontrado;"Art. 2º São objetivos da Política Nacional Aldir Blanc de Fomento à Cultura:

I - estimular ações, iniciativas, atividades e projetos culturais, por meio de apoio e de fomento da União, dos Estados, do Distrito Federal e dos Municípios;

II - garantir o financiamento e a manutenção de ações, de espaços, de ambientes e de iniciativas artístico-culturais que contribuam para o pleno exercício dos direitos culturais pelos cidadãos brasileiros, dispondo-lhes os meios e os insumos necessários para a produção, o registro, a gestão e a difusão cultural de suas práticas e seus saberes, fazeres, modos de vida, bens, produtos e serviços culturais;

III - democratizar o acesso à fruição e à produção artística e cultural nos Estados, no Distrito Federal e nos Municípios, inclusive em suas áreas periféricas, urbanas e rurais;

IV - garantir o financiamento para as ações, os projetos, as políticas e os programas públicos de cultura previstos nos planos de cultura dos Estados, dos Municípios e do Distrito Federal;

V - estabelecer diretrizes para a prestação de contas de projetos culturais, inclusive audiovisuais, realizados no âmbito das leis federais, estaduais, municipais e distritais de incentivo à cultura.";;
Plano Nacional de Resíduos Sólidos;Plano Nacional;2022;Meio Ambiente;Meio Ambiente ;Gestão Ambiental;Meio Ambiente;População em geral ;População em geral ;Sem especificação;Não se aplica;Não se aplica;Decreto;11043/2022;13 de abril de 2022;Não encontrado;"O Plano Nacional de Resíduos Sólidos (Planares) não se confunde com a Lei, visto que representa a estratégia
de longo prazo em âmbito nacional para operacionalizar as disposições legais, princípios, objetivos e diretrizes da
Política. O Plano tem início com o diagnóstico da situação dos resíduos sólidos no país, seguido de uma proposição
de cenários, no qual são contempladas tendências nacionais, internacionais e macroeconômicas. E, com base nas
premissas consideradas em tais capítulos iniciais, são propostas as metas, diretrizes, projetos, programas e ações
voltadas à consecução dos objetivos da Lei para um horizonte de 20 anos.";;
Política de Ciência, Tecnologia e Inovação de Materiais Avançados e o Comitê Gestor de Materiais Avançados;Política Nacional;2021;Desenvolvimento Econômico;Ciência e Tecnologia;Ciência e Tecnologia;Ministério da Ciência, Tecnologia e Inovações;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica;Não se aplica;Decreto;10746/2021;09 de julho de 2021;Não encontrado;"Art. 6º  São objetivos da Política de Ciência, Tecnologia e Inovação de Materiais Avançados:

I - fomentar a pesquisa, o desenvolvimento e a inovação tecnológica em materiais avançados;

II - estimular o empreendedorismo de base tecnológica em materiais avançados;

III - promover o domínio das tecnologias envolvidas na cadeia de valor associada aos minerais e à biomassa para a produção de materiais avançados;

IV - incentivar a capacitação, a formação e a fixação de recursos humanos especializados;

V - promover a criação, a ampliação e a modernização de infraestruturas necessárias à cadeia de valor de materiais avançados;

VI - fortalecer a cooperação internacional na qualidade de agente acelerador do desenvolvimento setorial; e

VII - promover a sua integração e a sua transversalidade com as políticas públicas setoriais.";;
 Política Mineral Brasileira;Política Nacional;2022;Desenvolvimento Econômico;Infraestrutura;Energia;Ministério de Minas e Energia;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Cadeias produtivas de setores econômicas incentivados e/ou regulados;Sem especificação;Não se aplica ;Não se aplica;Decreto;11108/2022;29 de junho de 2022;Não encontrado ;"Art. 2º  São princípios da Política Mineral Brasileira:

I - a valorização e o aproveitamento racional dos recursos minerais do País, com a maximização de seus benefícios socioeconômicos;

II - a preservação do interesse nacional;

III - a promoção do desenvolvimento sustentável;

IV - a responsabilidade socioambiental;

V - o estímulo à pesquisa, ao desenvolvimento tecnológico, à inovação, ao extensionismo tecnológico e ao empreendedorismo;

VI - a agregação de valor aos bens minerais;

VII - a atração de investimentos para a pesquisa mineral e outros segmentos da indústria mineral;

VIII - a ampliação da competitividade do País no mercado internacional;

IX - o estímulo ao desenvolvimento regional e à diversificação e integração econômica local;

X - o respeito à cultura e às vocações locais, às condições adequadas de trabalho e aos direitos humanos;

XI - a cooperação com:

a) Estados, Distrito Federal e Municípios; e

b) entidades representativas do setor mineral; e

XII - a promoção da concorrência e do livre mercado.";;
Política Nacional de Inteligência de Segurança Pública;Política Nacional;2021;Defesa e Segurança;Defesa Nacional;Defesa Nacional;Ministério da Justiça e Segurança Pública;Sistema de segurança pública;Sistema de segurança pública;Sem especificação;Não se aplica;Não se aplica;Decreto;10777/2021;24 de agosto de 2021;Não encontrado;"Os objetivos da PNISP devem contribuir para a preservação da ordem pública, da incolumidade das pessoas e do patrimônio, por meio da produção de conhecimentos. São eles: 

a) acompanhar e avaliar conjunturas de interesse da segurança pública, além de subsidiar o processo decisório e a ação do Estado;

b) identificar fatos ou situações que representem ameaças, riscos ou oportunidades que possam impactar na atuação dos órgãos que integram o Susp;

c) subsidiar a execução da PNSPDS e do Plano Nacional de Inteligência de Segurança Pública;

d) fortalecer o Sisp;

e) consolidar a integração dos órgãos de inteligência de segurança pública;

f) conscientizar a sociedade e os poderes constituídos acerca da importância da atividade de inteligência de segurança pública; e

g) proteger a atividade de inteligência de segurança pública e os seus ativos, em especial os profissionais de inteligência.";;
