nome_politica;tipo_politica;ano;grande_area;area;subareas;orgaos;publico_alvo;publico_alvo_categ;publico_alvo_legislacao;medida_provisoria;medida_provisoria_inicio_vigencia;instrumento_legal;legislacao;vigencia_inicio;vigencia_fim;objetivos;observacoes;acao_orcamentaria_assoc
Programa Nacional de Apoio à Inclusão Digital nas Comunidades (Telecentros.BR);Programa governamental;2009;Social;Ciência e Tecnologia;"Ciência e Tecnologia;;;;";"Ministério do Planejamento, Orçamento e Gestão; Ministério das Comunicações; Ministério da Ciência, Tecnologia e Inovações";Empres�rios dos setores urbanos e rurais;População em geral;Irrigação;Não se aplica;Não se aplica;Decreto;6991/2009;28 de outubro de 2009;Não encontrado;"Parágrafo único.  O Programa Telecentros.BR tem como objetivo desenvolver ações que possibilitem a implantação e a manutenção de telecentros públicos e comunitários em todo o território nacional. 
Parágrafo único.  O Programa Telecentros.BR tem como objetivo desenvolver ações que possibilitem a implantação e a manutenção de telecentros públicos e comunitários em todo o território nacional, sem prejuízo da continuidade e implementação de outros programas da mesma natureza. (Redação dada pelo Decreto nº 7.038, de 2009)";Alterações no objetivo;Programa com ação orçamentária associada
Programa Nacional de Armazenagem;Programa governamental;1975;Infraestrutura;Indústria e Comércio;"Indústria;;;;";"Ministério do Planejamento; Ministério da Fazenda; Ministério da Agricultura; Ministério da Indústria e do Comércio; Ministério do Interior";Popula��o em geral;Empresários dos setores urbanos e rurais;Sem especificação;Não se aplica;Não se aplica;Decreto;75688/1975;05 de maio de 1975;Não encontrado;"Art . 1º - O Programa Nacional de Armazenagem, criado pelo Decreto nº 75.688, de 2 de maio de 1975 , objetivará os seguintes subprogramas:
I - construção, ampliação e modernização de Unidades Armazenadoras, em três níveis: coletor, intermediário e terminal, bem como aquisição de equipamentos básicos;
II - construção de Unidades Armazenadoras para o produtor rural e aquisição de equipamentos básicos;
III - estudos e pesquisas sobre tecnologia de armazenagem e treinamento e formação de pessoal;
IV - prestação de assistência técnica, fiscalização e inspeção nas atividades de construção e operação de Unidades Armazenadoras;
V - subscrição, integralização e aumento de capital de empresas do Sistema;
VI - integração das redes oficiais e particulares de armazenagem;
VII - construção e ampliação de Unidades Armazenadoras, dotadas de ambiente artificial, em três níveis: coletor, intermediário e terminal bem como aquisição de equipamentos básicos.";Editado pelo Decreto 84449 de 30 de Janeiro de 1980;Programa sem ação orçamentária associada
Programa Nacional de Arrendamento de Áreas e Instalações Portuárias;Programa governamental;2002;Infraestrutura;Infraestrutura;"Transporte;;;;";Ministério dos Transportes;Popula��o em geral;Empresários dos setores urbanos e rurais;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;4391/2002;27 de setembro de 2002;28 de junho de 2013; Art. 2o Fica criado o Programa Nacional de Arrendamento de Áreas e Instalações Portuárias, com o objetivo de otimizar a operação portuária e atender ao crescimento da movimentação de cargas nos portos organizados.;#N/A;Programa sem ação orçamentária associada
Programa Nacional de Assistência Estudantil (PNAES);Programa governamental;2010;Social;Assistência Social;"Assistência Social;Educação;;;";Ministério da Educação;Empres�rios dos setores urbanos e rurais;Estudantes e Professores;Metrologia;Não se aplica;Não se aplica;Decreto;7234/2010;20 de julho de 2010;Não encontrado;"Art. 2o  São objetivos do PNAES:
I – democratizar as condições de permanência dos jovens na educação superior pública federal;
II - minimizar os efeitos das desigualdades sociais e regionais na permanência e conclusão da educação superior;
III - reduzir as taxas de retenção e evasão; e
IV - contribuir para a promoção da inclusão social pela educação.";#N/A;Programa com ação orçamentária associada
Programa Nacional de Banda Larga (PNBL);Programa governamental;2010;Social;Ciência e Tecnologia;"Ciência e Tecnologia;;;;";"Ministério do Planejamento, Orçamento e Gestão; Ministério das Comunicações; Casa Civil da Presidência da República";Popula��o em geral;População em geral;Sem especificação;Não se aplica;Não se aplica;Decreto;7175/2010;13 de maio de 2010;Não encontrado;"Art. 1o  Fica instituído o Programa Nacional de Banda Larga - PNBL com o objetivo de fomentar e difundir o uso e o fornecimento de bens e serviços de tecnologias de informação e comunicação, de modo a:
I - massificar o acesso a serviços de conexão à Internet em banda larga;
II - acelerar o desenvolvimento econômico e social;
III - promover a inclusão digital;
IV - reduzir as desigualdades social e regional;
V - promover a geração de emprego e renda;
VI - ampliar os serviços de Governo Eletrônico e facilitar aos cidadãos o uso dos serviços do Estado;
VII - promover a capacitação da população para o uso das tecnologias de informação; e
VIII - aumentar a autonomia tecnológica e a competitividade brasileiras.  ";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Bibliotecas de Instituições de Ensino Superior;Programa governamental;1990;Social;Educação;"Educação;;;;";Ministério da Educação;Artistas, Artes�os e Patrim�nio hist�rico e cultural brasileiro;Estudantes e Professores;Sem especificação;Não se aplica;Não se aplica;Decreto;98964/1990;19 de janeiro de 1990;Não encontrado;"Art. 1° Fica instituído no âmbito do Ministério da Educação o Programa Nacional de Bibliotecas de Instituições de Ensino Superior, visando contribuir para a melhoria do ensino e da pesquisa, e tendo, entre outros, os seguintes objetivos:
I - Contribuir para a atualização e expansão dos acervos bibliográficos;
II - Promover o desenvolvimento e a utilização de padrões, metodologias e técnicas modernas de tratamento dos documentos de maneira a assegurar intercâmbio de dados e ações cooperativas entre as instituições de ensino superior e de pesquisa;
III - Assegurar o uso compartilhado dos recursos disponíveis, através de mecanismos específicos e redes que interliguem as bibliotecas das instituições de ensino superior e de pesquisa;
IV - Promover a melhoria dos serviços de informação prestados aos usuários, assegurando acesso à informação nacional e internacional;
V - Promover a capacitação do pessoal técnico e cientifico das bibliotecas e programas de orientação para os usuários, no que se refere ao uso de fontes de informação.";#N/A;Programa com ação orçamentária associada
Programa Nacional de Bioinsumos;Programa governamental;2020;Desenvolvimento Econômico;Agropecuária e Agrária;"Agricultura;;;;";Ministério da Agricultura, Pecuária e Abastecimento;Popula��es fronteiri�as e de territ�rios economicamente deprimidos;Empresários dos setores urbanos e rurais;Sem especificação;Não se aplica;Não se aplica;Decreto;10375/2020;27 de maio de 2020;Não encontrado;"Art. 5º  São objetivos do Programa Nacional de Bioinsumos:

I - atualizar as normas referentes aos bioinsumos, com escopo no Programa e seus registros;

II - promover boas práticas de produção e de uso dos bioinsumos e garantir seu aperfeiçoamento contínuo e sustentável;

III - promover campanhas periódicas de incentivo ao uso dos bioinsumos;

IV - criar e manter base de dados com informações atualizadas sobre bioinsumos e temas associados, considerados os aspectos normativos, tecnológicos, mercadológicos e de políticas públicas;

V - apoiar processos de incubação de empresas e de pequenos negócios com foco na produção de bioinsumos e na organização de biofábricas;

VI - fomentar a pesquisa, o desenvolvimento e a inovação em bioinsumos;

VII - incentivar a adoção de sistemas de produção sustentáveis que assegurem o uso adequado de bioinsumos e elevem a renda dos produtores, principalmente com a expansão das seguintes tecnologias, dentre outras:

a) sistema orgânico de produção e de base agroecológica;

b) sistemas agroflorestais;

c) sistema de plantio direto;

d) recuperação de pastagens degradadas;

e) integração lavoura-pecuária-floresta; e

f) aquicultura sustentável;

VIII - promover ações de estímulo à produção, ao processamento, à distribuição, à comercialização e ao consumo de bioinsumos;

IX - incentivar práticas e tecnologias de tratamento de resíduos sólidos para geração de insumos apropriados para uso na produção de bioinsumos; e

X - promover o estabelecimento de especificações de referência, mediante a realização de estudos de segurança e de testes de eficiência agronômica para o registro de produtos.";#N/A;Programa com ação orçamentária associada
Programa Nacional de Centros Sociais Urbanos (CSU);Programa governamental;1975;Social;Assistência Social;"Assistência Social;;;;";"Ministério da Educação; Ministério do Trabalho; Ministério da Saúde; Ministério do Planejamento; Ministério do Interior; Presidência da República ";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;População em geral;Sem especificação;Não se aplica;Não se aplica;Decreto;75922/1975;01 de julho de 1975;30 de março de 1984;Art . 1º É criado o Programa Nacional de Centros Sociais Urbanos - CSU, com a finalidade de promover a integração social nas cidades, através do desenvolvimento de atividades comunitárias nos campos da educação, cultura e desporto, da saúde e nutrição, do trabalho, previdência e assistência social e da recreação e lazer.;Extinto pelo Decreto nº 89.501, de 30 de março de 1984;Programa sem ação orçamentária associada
Programa Nacional de Combate ao Contrabando e ao Descaminho;Programa governamental;1998;Desenvolvimento Econômico;Indústria e Comércio;"Comércio e Serviços;;;;";"Ministério da Fazenda; Ministério da Justiça";Administra��o p�blica e servidores p�blicos;Sistemas de arrecadação e de controle fiscal;Sem especificação;Não se aplica;Não se aplica;Decreto;2781/1998;15 de setembro de 1998;19 de dezembro de 2019;Art. 1º Fica instituído o Programa Nacional de Combate ao Contrabando e ao Descaminho, destinado a criar condições para a realização conjunta de tarefas e atividades, pela Secretaria da Receita Federal do Ministério da Fazenda e pelo Departamento de Polícia Federal do Ministério da Justiça, relativas à prevenção e repressão dos ilícitos penais e administrativos referentes à importação e exportação de bens.;#N/A;Programa sem ação orçamentária associada
Programa Nacional de Conservação de Energia Elétrica (PROCEL);Programa governamental;2019;Infraestrutura;Infraestrutura;"Energia;;;;";Ministério de Minas e Energia;Cadeias produtivas de setores econ�micas incentivados e/ou regulados;População em geral;Operações de Transportes rodoviários;Não se aplica;Não se aplica;Decreto;9683/2019;28 de junho de 2019;Não encontrado;"Art. 2º  O Procel, em consonância com as diretrizes do Conselho Nacional de Política Energética e da Política de Eficiência Energética do Ministério de Minas e Energia, objetiva promover as ações de eficiência energética elétrica na geração, transmissão e distribuição de energia, bem como para o usuário final, destinadas a:
I - aumentar a competitividade do País;
II - postergar investimentos no setor elétrico; e
III - reduzir a emissão de gases de efeito estufa e, consequentemente, diminuir os impactos ambientais associados.";#N/A;Programa com ação orçamentária associada
Programa Nacional de Cooperação em Adoção Internacional;Programa governamental;1999;Social;Relações Exteriores;"Relações Exteriores;;;;";Ministério da Justiça;Popula��o em geral;Crianças e Idosos;Sem especificação;Não se aplica;Não se aplica;Decreto;3174/1999;17 de setembro de 1999;Não encontrado;Art. 3o  É instituído, no âmbito do Departamento da Criança e do Adolescente, o Programa Nacional de Cooperação em Adoção Internacional, cujas atribuições e competências serão definidas em regimento interno.;No decreto não há especificação de objetivo e publico alvo;Programa sem ação orçamentária associada
Programa Nacional de Crédito Fundiário (Terra Brasil);Programa governamental;2003;Desenvolvimento Econômico;Agropecuária e Agrária;"Organização Agrária;;;;";Ministério do Desenvolvimento Agrário;Sistema de Sa�de;Trabalhadores Rurais;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;4892/2003;25 de novembro de 2003;Não encontrado;Art 1, §1, VI. Programa Nacional de Crédito Fundiário - Terra Brasil, constituído por um conjunto de ações e projetos de reordenação fundiária e de assentamento rural, complementares à reforma agrária, promovidos por meio do crédito fundiário, oriundo dos recursos do Fundo de Terras e Reforma Agrária de que trata este Decreto, destinados ao acesso à terra e a investimentos básicos e integrado pelo Subprograma de Combate à Pobreza Rural; ;NA
Programa Nacional de Desburocratização;Programa governamental;1979;Administração;Administração Pública;"Administração;;;;";Ministério da Desburocratização;Popula��o em situa��o de vulnerabilidade social;Administração pública e servidores públicos;prevenção desses eventos e para o tratamento dos condicionantes a eles associados;Não se aplica;Não se aplica;Decreto;83740/1979;18 de julho de 1979;Não encontrado;"Art. 2º O GESPÚBLICA deverá contemplar a formulação e implementação de medidas integradas em agenda de transformações da gestão, necessárias à promoção dos resultados preconizados no plano plurianual, à consolidação da administração pública profissional voltada ao interesse do cidadão e à aplicação de instrumentos e abordagens gerenciais, que objetivem:

I - eliminar o déficit institucional, visando ao integral atendimento das competências constitucionais do Poder Executivo Federal;

II - promover a governança, aumentando a capacidade de formulação, implementação e avaliação das políticas públicas;

III - promover a eficiência, por meio de melhor aproveitamento dos recursos, relativamente aos resultados da ação pública;

IV - assegurar a eficácia e efetividade da ação governamental, promovendo a adequação entre meios, ações, impactos e resultados; e

V - promover a gestão democrática, participativa, transparente e ética.

Art. 3º Para consecução do disposto nos arts. 1º e 2º , o GESPÚBLICA, por meio do Comitê Gestor de que trata o art. 7º , deverá:

I - mobilizar os órgãos e entidades da administração pública para a melhoria da gestão e para a desburocratização;

II - apoiar tecnicamente os órgãos e entidades da administração pública na melhoria do atendimento ao cidadão e na simplificação de procedimentos e normas;

III - orientar e capacitar os órgãos e entidades da administração publica para a implantação de ciclos contínuos de avaliação e de melhoria da gestão; e

IV - desenvolver modelo de excelência em gestão pública, fixando parâmetros e critérios para a avaliação e melhoria da qualidade da gestão pública, da capacidade de atendimento ao cidadão e da eficiência e eficácia dos atos da administração pública federal.";Revogado pelo Decreto nº 9904 de 2017;Programa sem ação orçamentária associada
Programa Nacional de Descentralização;Programa governamental;1994;Administração;Administração Pública;"Administração;;;;";"Ministério da Fazenda; Ministério de Minas e Energia; Ministério da Integração Regional";Sistema de Sa�de;Administração pública e servidores públicos;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;1044/1994;17 de janeiro de 1994;Não encontrado;Art. 1° Fica instituído o Programa Nacional de Descentralização com o objetivo de fortalecer a Federação e proporcionar melhores condições para o desenvolvimento nacional, a ser implantado e progressivamente executado mediante a repartição e descentralização das atribuições da União, a fim de tornar a rede de serviços públicos mais acessível à população e de estabelecer condições para a melhor aplicação dos recursos públicos, eliminando a dualidade e a superposição de ações dos órgãos e entidades da Administração Pública Federal.;#N/A;Programa sem ação orçamentária associada
Programa Nacional de Desenvolvimento do Artesanato;Programa governamental;1977;Social;Cultura;"Cultura;;;;";"Ministério da Fazenda; Ministério do Planejamento; Ministério da Agricultura; Ministério da Educação; Presidência da República";Sistema de Sa�de;Artistas, Artesãos e Patrimônio histórico e cultural brasileiro;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;80098/1977;09 de agosto de 1977;Não encontrado;"Art. 2º Constituem objetivos do Programa Nacional de Desenvolvimento do Artesanato:

I - promover, estimular, desenvolver, orientar e coordenar a atividade artesanal a nível nacional;

II - propiciar ao artesão condições de desenvolvimento e auto-sustentação através da atividade artesanal;

III - orientar a formação de mão-de-obra artesanal;

IV - estimular e/ou promover a criação e organização de sistemas de produção e comercialização do artesanato;

V - incentivar as preservação do artesanato em suas formas da expressão da cultura popular;

VI - estudar e propor formas que definam a situação jurídica do artesão;

VII - propor a criação de mecanismos fiscais e financeiros de incentivo à produção artesanal;

VIII - promover estudos e pesquisas visando à manutenção de informações atualizadas para o setor.";Revogado pelo Decreto de 21 de março de 1991;Programa sem ação orçamentária associada
Programa Nacional de Educação e Trabalho (PLANTE);Programa governamental;1991;Social;Educação;"Educação;Trabalho;;;";"Ministério da Educação; Ministério da Saúde; Ministério da Agricultura e Reforma Agrária; Ministério do Trabalho e da Previdência Social; Ministério da Ação Social";Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com defici�ncia);Jovens de 12 a 24 anos;População negra;Não se aplica;Não se aplica;Decreto;219/1991;20 de setembro de 1991;Não encontrado;"Art. 1° Fica instituído, no âmbito do Ministério do Trabalho e da Previdência Social, o Programa Nacional de Educação e Trabalho - PLANTE, a ser desenvolvido em cooperação com a Secretaria de Ciência e Tecnologia da Presidência da República e com o Ministério da Ação Social, o Ministério da Agricultura e Reforma Agrária, o Ministério da Educação, o Ministério da Saúde, com o Programa Ministério da Criança e outras entidades interessadas na formação de mão-de-obra dos jovens, tendo como objetivo:
I - Identificar, apoiar e acompanhar as ações relacionadas com a formação de mão-de-obra dos jovens;
II - Fomentar programas de formação de mão-de-obra dirigidos aos jovens, objetivando proporcionar-lhes, através de preparação para o trabalho, oportunidades de desenvolvimento profissional, pessoal e social;
III - Favorecer a ajuda mútua, de natureza técnica, gerencial e financeira, entre os organismos que atuam direta ou indiretamente com formação de mão-de-obra, em ações voltadas à realização de programas especiais dirigidos aos jovens, inclusive aos portadores de deficiência física, na perspectiva de sua inserção no mercado de trabalho, observada a legislação vigente, inclusive o Estatuto da Criança e do Adolescente.
IV - Fomentar a participação dos pequenos produtores urbanos e rurais no processo de desenvolvimento econômico e tecnológico, através da capacitação para o trabalho;
V - Promover a atuação integrada dos diversos segmentos da sociedade e instituições do País, envolvidas no programa de formação de mão-de-obra; e
VI - Apoiar o desenvolvimento de estudos e pesquisas relacionados ao trabalho dos jovens.";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Educação na Reforma Agrária (PRONERA);Programa governamental;2010;Social;Educação;"Educação;Organização agrária;;;";"Ministério da Educação; Ministério do Desenvolvimento Agrário";Popula��o em situa��o de vulnerabilidade social;Jovens de 12 a 24 anos;Art. 2o  Para os efeitos desta Política, define-se “defensores dos direitos humanos” como todos os indivíduos, grupos e órgãos da sociedade que promovem e protegem os direitos humanos e as liberdades fundamentais universalmente reconhecidos.;Não se aplica;Não se aplica;Decreto;7352/2010;5 de novembro de 2010;Não encontrado;"Art. 12.  Os objetivos do PRONERA são: I - oferecer educação formal aos jovens e adultos beneficiários do Plano Nacional de Reforma Agrária - PNRA, em todos os níveis de ensino; II - melhorar as condições do acesso à educação do público do PNRA; e III - proporcionar melhorias no desenvolvimento dos assentamentos rurais por meio da qualificação do público do PNRA e dos profissionais que desenvolvem atividades educacionais e técnicas nos assentamentos. ";#N/A;NA
Programa Nacional de Educação Sanitária em Defesa Agropecuária;Programa governamental;2006;Desenvolvimento Econômico;Agropecuária e Agrária;"Agricultura;;;;";Ministério da Agricultura, Pecuária e Abastecimento;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com defici�ncia);Empresários dos setores urbanos e rurais;"§ 1º Para os efeitos desta Lei, é considerada pessoa com transtorno do espectro autista aquela portadora de síndrome clínica caracterizada na forma dos seguintes incisos I ou II:
I - deficiência persistente e clinicamente significativa da comunicação e da interação sociais, manifestada por deficiência marcada de comunicação verbal e não verbal usada para interação social; ausência de reciprocidade social; falência em desenvolver e manter relações apropriadas ao seu nível de desenvolvimento;
II - padrões restritivos e repetitivos de comportamentos, interesses e atividades, manifestados por comportamentos motores ou verbais estereotipados ou por comportamentos sensoriais incomuns; excessiva aderência a rotinas e padrões de comportamento ritualizados; interesses restritos e fixos.";Não se aplica;Não se aplica;Decreto;5741/2006;30 de março de 2006;Não encontrado;Art. 39.  A educação sanitária é atividade estratégica e instrumento de defesa agropecuária no Sistema Unificado de Atenção à Sanidade Agropecuária, para garantir o comprometimento dos integrantes da cadeia produtiva agropecuária e da sociedade em geral, no cumprimento dos objetivos deste Regulamento.;#N/A;NA
Programa Nacional de Enfrentamento da Violência contra Crianças e Adolescentes;Programa governamental;2021;Social;Direitos Humanos;"Direitos da Cidadania;;;;";Ministério da Mulher, da Família e dos Direitos Humanos;Popula��o em geral;Crianças e Idosos;Art. 3º A PNPDEC abrange as ações de prevenção, mitigação, preparação, resposta e recuperação voltadas à proteção e defesa civil.;Não se aplica;Não se aplica;Decreto;10701/2021;18 de maio de 2021;Não encontrado;"Parágrafo único.  São objetivos específicos do Programa Nacional de Enfrentamento da Violência contra Crianças e Adolescentes:
I - possibilitar a formação continuada de operadores do Sistema de Garantia de Direitos da Criança e do Adolescente Vítima ou Testemunha de Violência, em conformidade com o disposto na Lei nº 13.431, de 4 de abril de 2017;
II - colaborar com o fortalecimento e com o desenvolvimento das competências familiares em relação à proteção integral e à educação relativas aos direitos humanos da criança e do adolescente no espaço doméstico;
III - contribuir para o fortalecimento do Sistema de Garantia dos Direitos da Criança e do Adolescente Vítima ou Testemunha de Violência;
IV - promover a integração e a eficiência no funcionamento dos serviços de denúncia e notificação de violações dos direitos da criança e do adolescente;
V - estimular a integração das políticas que garantam a proteção integral e o direito à convivência familiar e comunitária da criança e do adolescente; e
VI - incentivar a atuação de organizações da sociedade civil no desenvolvimento de programas, projetos, ações e serviços na área do enfrentamento da violência contra a criança e o adolescente.";#N/A;#N/A
Programa Nacional de Florestas (PNF);Programa governamental;2000;Meio Ambiente;Meio Ambiente;"Gestão Ambiental;;;;";Ministério do Meio Ambiente;Cadeias produtivas de setores econ�micas incentivados e/ou regulados;Populações e setores econômicos diretamente afetados por alterações no meio ambiente;trabalhadores, gestores e empreendedores nos segmentos do turismo ;Não se aplica;Não se aplica;Decreto;3420/2000;22 de abril de 2000;Não encontrado;"Art. 2o O PNF tem os seguintes objetivos:
I - estimular o uso sustentável de florestas nativas e plantadas;
II - fomentar as atividades de reflorestamento, notadamente em pequenas propriedades rurais;
III - recuperar florestas de preservação permanente, de reserva legal e áreas alteradas;
IV - apoiar as iniciativas econômicas e sociais das populações que vivem em florestas;
V - reprimir desmatamentos ilegais e a extração predatória de produtos e subprodutos florestais, conter queimadas acidentais e prevenir incêndios florestais;
VI - promover o uso sustentável das florestas de produção, sejam nacionais, estaduais, distrital ou municipais;
VII - apoiar o desenvolvimento das indústrias de base florestal;
VIII - ampliar os mercados interno e externo de produtos e subprodutos florestais;
IX - valorizar os aspectos ambientais, sociais e econômicos dos serviços e dos benefícios proporcionados pelas florestas públicas e privadas;
X - estimular a proteção da biodiversidade e dos ecossistemas florestais.";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Fortalecimento da Agricultura Familiar (PRONAF);Programa governamental;1996;Desenvolvimento Econômico;Agropecuária e Agrária;"Agricultura;;;;";Ministério da Agricultura, Pecuária e Abastecimento;Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Trabalhadores Rurais;Vegetação nativa;Não se aplica;Não se aplica;Decreto;1946/1996;01 de julho de 1996;07 de outubro de 1999;Art. 1° Fica criado o Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF, com a finalidade de promover o desenvolvimento sustentável do segmento rural constituído pelos agricultores familiares, de modo a propiciar-lhes o aumento da capacidade produtiva, a geração de empregos e a melhoria de renda.;Revalidado pelo DEC 3200/1999;Programa sem ação orçamentária associada
Programa Nacional de Gestão Pública e Desburocratização (GESPÚBLICA);Programa governamental;2005;Administração;Administração Pública;"Administração;;;;";"Ministério do Planejamento, Orçamento e Gestão; Casa Civil da Presidência da República";Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Administração pública e servidores públicos;Recursos Hídricos;Não se aplica;Não se aplica;Decreto;5378/2005;24 de fevereiro de 2005;18 de julho de 2017;"Art. 2º O GESPÚBLICA deverá contemplar a formulação e implementação de medidas integradas em agenda de transformações da gestão, necessárias à promoção dos resultados preconizados no plano plurianual, à consolidação da administração pública profissional voltada ao interesse do cidadão e à aplicação de instrumentos e abordagens gerenciais, que objetivem:
I - eliminar o déficit institucional, visando ao integral atendimento das competências constitucionais do Poder Executivo Federal;
II - promover a governança, aumentando a capacidade de formulação, implementação e avaliação das políticas públicas;
III - promover a eficiência, por meio de melhor aproveitamento dos recursos, relativamente aos resultados da ação pública;
IV - assegurar a eficácia e efetividade da ação governamental, promovendo a adequação entre meios, ações, impactos e resultados; e
V - promover a gestão democrática, participativa, transparente e ética.";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Incentivo à Leitura (PROLER);Programa governamental;1992;Social;Cultura;"Educação;Cultura;;;";Ministério da Justiça;Popula��o em geral;População em geral;Sem especificação  População em geral;Não se aplica;Não se aplica;Decreto;519/1992;14 de maio de 1992;Não encontrado;"Art. 2º Constituem objetivos do PROLER:
I - promover o interesse nacional pelo hábito da leitura;
II - estruturar uma rede de projetos capaz de consolidar, em caráter permanente, práticas leitoras;
III - criar condições de acesso ao livro.";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Incentivo ao Voluntariado;Programa governamental;2019;Social;Assistência Social;"Assistência Social;;;;";Ministério do Desenvolvimento Social e Combate à Fome;Minorias sociais (negros, mulheres, comunidade LGBTQIA+ e pessoas com defici�ncia);População em geral;mulheres em idade fértil;Não se aplica;Não se aplica;Decreto;9906/2019;09 de julho de 2019;Não encontrado;"Art. 1º Fica instituído o Programa Nacional de Incentivo ao Voluntariado, com as seguintes finalidades:
I - promover o voluntariado de forma articulada entre o Governo, as organizações da sociedade civil e o setor privado; e
II - incentivar o engajamento social e a participação cidadã em ações transformadoras da sociedade.";http://mds.gov.br/assuntos/patriavoluntaria;#N/A
Programa Nacional de Incubadoras de Cooperativas Populares (PRONINC);Programa governamental;2010;Social;Assistência Social;"Assistência Social;;;;";"Ministério da Justiça; Ministério da Educação; Ministério do Desenvolvimento Social e Combate à Fome; Ministério do Trabalho e Emprego; Ministério da Saúde; Ministério da Cultura; Ministério do Turismo; Ministério da Pesca e Aquicultura";Trabalhadores Rurais;Empresários dos setores urbanos e rurais;"Art. 19.  O processo de seleção de indivíduos e famílias candidatos a beneficiários do Programa Nacional de Reforma Agrária será realizado por projeto de assentamento, observada a seguinte ordem de preferência na distribuição de lotes: I - ao desapropriado, ficando-lhe assegurada a preferência para a parcela na qual se situe a sede do imóvel, hipótese em que esta será excluída da indenização devida pela desapropriação; II - aos que trabalham no imóvel desapropriado como posseiros, assalariados, parceiros ou arrendatários, identificados na vistoria; III - aos trabalhadores rurais desintrusados de outras áreas, em virtude de demarcação de terra indígena, criação de unidades de conservação, titulação de comunidade quilombola ou de outras ações de interesse público; IV - ao trabalhador rural em situação de vulnerabilidade social que não se enquadre nas hipóteses previstas nos incisos I, II e III deste artigo; V - ao trabalhador rural vítima de trabalho em condição análoga à de escravo; VI - aos que trabalham como posseiros, assalariados, parceiros ou arrendatários em outros imóveis rurais; VII - aos ocupantes de áreas inferiores à fração mínima de parcelamento (Redação dada pela Lei nº 13.465, de 2017).";Não se aplica;Não se aplica;Decreto;7357/2010;18 de novembro de 2010;Não encontrado;"Art. 2o  O PRONINC tem por finalidade o fortalecimento dos processos de incubação de empreendimentos econômicos solidários e buscará atingir os seguintes objetivos:
I - geração de trabalho e renda, a partir da organização do trabalho, com foco na autogestão e dentro dos princípios de autonomia dos empreendimentos econômicos solidários;
II - construção de referencial conceitual e metodológico acerca de processos de incubação e de acompanhamento de empreendimentos econômicos solidários pós-incubação;
III - articulação e integração de políticas públicas e outras iniciativas para a promoção do desenvolvimento local e regional;
IV - desenvolvimento de novas metodologias de incubação de empreendimentos econômicos solidários articuladas a processos de desenvolvimento local ou territorial;
V - formação de discentes universitários em economia solidária; e
VI - criação de disciplinas, cursos, estágios e outras ações, para a disseminação da economia solidária nas instituições de ensino superior. ";#N/A;Programa sem ação orçamentária associada
Programa Nacional de Irrigação (PRONI);Programa governamental;1986;Desenvolvimento Econômico;Agropecuária e Agrária;"Agricultura;;;;";Ministério do Interior;Sistema de Sa�de;Empresários dos setores urbanos e rurais;Sistema Único de Saúde;Não se aplica;Não se aplica;Decreto;92395/1986;14 de fevereiro de 1986;Não encontrado;Sem especificação;#N/A;Programa sem ação orçamentária associada
Programa Nacional de Material Escolar;Programa governamental;1987;Social;Assistência Social;"Assistência Social;Educação;;;";Ministério da Educação;Sistema de Seguran�a P�blica;Estudantes e Professores;Sem especificação;Não se aplica;Não se aplica;Decreto;94084/1987;11 de março de 1987;Não encontrado;Sem especificação;#N/A;Programa com ação orçamentária associada
Programa Nacional de Microbacias Hidrográficas;Programa governamental;1987;Infraestrutura;Meio Ambiente;"Gestão Ambiental;;;;";Ministério da Agricultura;Popula��es e setores econ�micos diretamente afetados por altera��es no meio ambiente;Empresários dos setores urbanos e rurais;Sem especificação;Não se aplica;Não se aplica;Decreto;94076/1987;06 de março de 1987;Não encontrado;"Art. 2° O PNMH tem como objetivos:
I - executar ações voltadas para a prática de manejo e conservação dos recursos naturais renováveis, evitando sua degradação e objetivando um aumento sustentado da produção e produtividade agropecuárias, bem como da renda dos produtores rurais;
II - estimular a participação dos produtores rurais e suas organizações nas atividades de que trata o inciso anterior;
III - promover a fixação das populações no meio rural e reduzir os fluxos migratórios do campo para cidade.";#N/A;Programa com ação orçamentária associada
